Rychnov nad Kněžnou	118	22.424602293608007
DoualaPays : CamerounAdresse	102	22.406178326732338
Bajaga i Instruktori	118	22.385818095638346
d'activité : Principaux	128	22.367493053820052
Feasa ar Éirinn	121	22.214224197726296
Séré de Rivières	109	22.15457802657505
Tiako I Madagasikara	134	22.149050193285223
African-Eurasian Migratory Waterbirds	145	22.103210375266972
Kw ` alaams	110	22.09419756064452
Ponts et Chaussées	106	22.084725134502357
Nlaka ` pamux	156	22.054136257428528
reductio ad absurdum	126	22.03878806945011
Waterbirds -LRB- AEWA	138	22.03544884028216
Urim and Thummim	129	22.003492351339446
Prawo i Sprawiedliwość	155	21.97371920052086
Spicks and Specks	147	21.973458208642853
Umkhonto we Sizwe	114	21.96087093457215
Bolliger & Mabillard	146	21.905495565201402
Tirreno -- Adriatico	115	21.88773432643835
Z'ha ` dum	107	21.848490327281823
Epistula ad Carpianum	177	21.837508978155025
ALUPEC or ALUPEK	156	21.75945023009664
first-come , first-served	102	21.73373710292902
Podge and Rodge	123	21.723800217922086
Breitkopf & Härtel	128	21.72329628666911
MEDAL OF HONOR	170	21.663540325425856
Jablonec nad Nisou	109	21.660342716428442
Pamantasan ng Lungsod	109	21.655318673321172
leaf-cutter , carder	163	21.653711179277835
Kōhaku Uta Gassen	163	21.634955623432006
L'incoronazione di Poppea	114	21.623412910932345
O157 : H7	157	21.606312334542547
ne'er - do-well	138	21.59148300226472
Seraikis , Pakhtuns	166	21.575964871928726
Obstetricians and Gynaecologists	112	21.5729062320911
on-again , off-again	157	21.520718946885797
Pama -- Nyungan	132	21.502248709188322
ecclesiastica gentis Anglorum	127	21.50063266763681
d'Etat \/ Staatsrat	110	21.47864784362176
comings and goings	124	21.47084974866081
EnergySolutions Arena19 ,911	139	21.43024899714775
Chatto & Windus	104	21.42555368983686
Higurashi no Naku	124	21.423712562013197
Nakło nad Notecią	112	21.419098375771068
winkles or periwinkles	226	21.407330038542046
Pazz & Jop	225	21.407241184860343
bloodworm family Chironomidae	116	21.388391726132994
primus inter pares	147	21.31728229047753
Pakhtuns , Balochis	150	21.293238638989383
Gro Harlem Brundtland	103	21.290790711210807
Lyonnaise des Eaux	105	21.28660916249469
Zine El Abidine	129	21.27732833921399
Shakugan no Shana	108	21.266000195670244
Izz ad-Din al-Qassam	118	21.259517346806927
Zagorje ob Savi	102	21.24988024323462
Lebor Gabála Érenn	174	21.239127160398755
Sabra and Shatila	114	21.232280605798653
Bjorke of Roughstock	110	21.221098785422722
Juiz de Fora	148	21.218295143689538
Kwakwaka ` wakw	284	21.21507973266307
Luchas de Apuestas	155	21.20537370247333
REB = Rebounds	170	21.19209481578772
Zermelo -- Fraenkel	119	21.186833614794992
Culhwch and Olwen	110	21.1851653121259
Síl nÁedo Sláine	164	21.184676219753268
Appellation d'Origine Contrôlée	164	21.140491149744456
Balochis , Memons	147	21.13959327679165
nicotinamide adenine dinucleotide	113	21.13811061729534
Mindless Self Indulgence	119	21.1350585408933
forza del destino	248	21.124705709920033
尚書省 , Shangshu	139	21.116211108830964
Memons , Bohras	151	21.10655239647924
Crioulo , ALUPEC	140	21.06700605505207
Wisin & Yandel	235	21.058616190063113
Ritterkreuz des Eisernen	231	21.045132857211183
White-eye -LRB- Zosterops	102	21.040056758666015
Kashmiris , Seraikis	157	21.02668078828048
Thich Nhat Hanh	130	21.007452305148686
Plutarco Elías Calles	115	20.997777303543423
Pingzhangshi -LRB- 同中書門下平章事	241	20.9957164234751
ip sur lociterres	289	20.98314354587027
Trophée Eric Bompard	161	20.972263852725696
Bonzo Dog Doo-Dah	107	20.97160716938942
Steals ; BLK	156	20.961585951181487
Médecins Sans Frontières	206	20.959973910883875
Teatre del Liceu	117	20.942138433508642
barbiere di Siviglia	233	20.93897479549213
Osservatorio San Vittore	132	20.924487498466398
Kvaran aka Carptrash	185	20.892217612635736
deus ex machina	215	20.891262105585632
Estrela da Amadora	143	20.891024964369493
Teilhard de Chardin	167	20.888569248287368
Doddamani , Gajendragad	241	20.886351497006736
